,test_val,test_val_pred
0,825000,832124.8004085231
1,290000,303272.47334580676
2,375000,381638.14134409593
3,975000,975303.0301954708
4,850000,1023068.4128402834
5,450000,517999.28910926706
6,1200000,1062962.842713797
7,725000,796447.4055554153
8,120000,151530.34538900683
9,110000,130434.12394462606
10,3100000,3043974.734637781
11,875000,942128.1345988285
12,800000,818460.1725712811
13,300000,342798.08821903745
14,650000,670613.278755343
15,900000,843562.7384187416
16,230000,255144.1624315173
17,12000000,10362673.856097056
18,900000,898201.6799385966
19,260000,293406.54760605266
20,80000,82822.51810840226
21,650000,736257.7335630305
22,375000,429285.8086513863
23,675000,802814.2138362235
24,600000,648042.7593695995
25,300000,332480.1511774788
26,575000,591924.7736706239
27,7500000,7811317.591284016
28,11000000,9483458.817599192
29,270000,320292.9941900384
30,825000,862744.0829426873
31,600000,632828.6560522314
32,2700000,2373649.6611229773
33,19500000,14603235.805370085
34,650000,740209.4693555988
35,1000000,1113000.665929222
36,675000,715396.1856259705
37,1200000,1376589.2477291073
38,1300000,1432234.7052212327
39,375000,434153.10808927007
40,1100000,1020449.1595736626
41,500000,545402.8713446471
42,1200000,1173816.4840368296
43,3400000,3277401.9209489613
44,24500000,19682686.294249922
45,550000,572839.5062919264
46,190000,264332.59455028153
47,4300000,3747575.1715274113
48,375000,390016.4834744344
49,13000000,11911086.869964529
50,550000,644621.1853495309
51,2100000,1785735.4756211021
52,500000,531965.4386498256
53,3800000,3151873.6776928604
54,1,0.9558386135698607
55,2000000,1800417.5481781096
56,100000,117410.36176258224
57,375000,442568.68518798705
58,260000,309452.2417710406
59,5500000,5862230.038372285
60,7500000,7053848.954085723
61,6500000,4733219.734328771
62,3200000,2874398.8166296915
63,900000,952641.1106212201
64,8000000,6798140.0764410775
65,475000,499560.40605171927
66,650000,676444.9328745437
67,1600000,1538164.5696863348
68,1200000,1257100.2014563156
69,525000,613123.4626314017
70,1500000,1497236.2547089746
71,1900000,1999307.186311943
72,600000,623289.1455173187
73,1000000,996382.7873829026
74,300000,522208.40428476915
75,150000,176645.9108082761
76,10000000,8396632.202848332
77,450000,485734.8225403206
78,1100000,1197461.1769067866
79,100000,128294.78650816619
80,11500000,8884085.356477696
81,4200000,3569933.4709908017
82,3300000,3074617.7397569804
83,1600000,1988680.9536944309
84,160000,203583.0419970993
85,3100000,2736004.183030666
86,2700000,2481625.537726597
87,450000,488836.76430442824
88,5500000,4653709.322214309
89,425000,508919.03309600975
90,180000,220832.45455361297
91,2700000,2567036.386004453
92,2800000,2867611.3083947347
93,425000,427847.9568606806
94,220000,245721.46715145992
95,700000,657692.6198446221
96,280000,286621.81912910106
97,70000,85859.28804883531
